unique.pubchem,unique.drugid,CCLE.drugid,CGP.drugid,GRAY.drugid,GSK.drugid,NCI.drugid
254258,,,,,,"guanidine, 1-(p-butoxyphenyl)-3-(p-chlorophenyl)-"
25429,,,,,,Benzimate
254975,,,,,,"2,3-butanediol, 1,4-bis(2-methyl-1-aziridinyl)- (8ci)"
255605,,,,,,"benzophenone, 3,3',4,4',5-pentamethoxy- (8ci)"
255922,,,,,,"2',3-dinitro-p-salicylotoluidide"
255923,,,,,,"benzamide, n-(2,3-dimethylphenyl)-2-hydroxy-3-nitro- (9ci)"
256411,,,,,,Trityl cysteine
256420,,,,,,agecorynin c
25659,,,,,,"nitidine, chloride (8ci)"
256755,,,,,,7-(phenyl(p-tolylamino)methyl)quinolin-8-ol
256758,,,,,,"8-quinolinol, 7-[.alpha.-(8-quinolylamino)benzyl]-"
2569,,,,,,Carboqone; Carbazilquinone
257272,,,,,,ambrosin
257278,,,,,,coronopilin
2577,,,,,,carmofur
2578,,,,,,Carmustine
258237,,,,,,"1,1'-(benzo[d][1,3]dioxol-5-ylmethylene)dipiperazine"
258412,,,,,,strophanthidol
25842,,,,,,tributylchlorolead
258450,,,,,,"3,6-dibromophenthrene-9,10-dione"
258526,,,,,,solacongestidine
258797,,,,,,sri 2636
258809,,,,,,Madecassic Acid
258957,,,,,,crimin
25926,,,,,,win 1701
259331,,,,,,Estramustine
259746,,,,,,"sulfide, 2,4-dinitrophenyl 2-nitro-p-tolyl"
259812,,,,,,8-aminoadenosine
259820,,,,,,2'-ethyl-3-nitrosalicylanilide
259897,,,,,,leurosine sulfate
260780,,,,,,"pyrimidine, 5-allyl-2,4,6-trichloro-"
260783,,,,,,"pyrimidine, 2,4,6-trichloro-5-pentyl-"
260791,,,,,,"pyrimidine, 2,4,6-trichloro-5-heptyl-"
261046,,,,,,antineoplastic-92909
261051,,,,,,antineoplastic-92915
261066,,,,,,"1h-benzo[a]carbazole-1,4(11h)-dione, 11-methyl-"
261075,,,,,,acetyltrophanthidin
261577,,,,,,fastigilin c
261792,,,,,,demethyltylophorinine
261859,,,,,,gardenin
261947,,,,,,gitoxim
262093,,,,,,"1,4-phthalenedione, 2,3-bis[(2-hydroxyethyl)thio]-"
262500,,,,,,solanine
262649,,,,,,"1-benzoyl-1,2-dihydrobenzo[f]quildonitrile"
26328,,,,,,PCNU
264067,,,,,,2-(phenthridin-6-ylthio)-1-phenylethanone
264115,,,,,,calycanthine
26476961,,,,,,imidazole-5-one deri.
26476967,,,,,,imidazole-5-one deri
264889,,,,,,aklavin
265237,,,,,,withaferin a
265730,,,,,,"6h-indeno[1,2-c]isoquinoline-5,11-dione, 6-methyl-"
265952,,,,,,u-22265
265953,,,,,,formycin a
265955,,,,,,u 20043
26596,,,,,,helatac
2662,,,,,,Celecoxib
266552,,,,,,Deoxycamptothecin
266767,,,,,,riboprine(usan)
266923,,,,,,"5,8-quinolinedione, 6-amino-7-bromo-"
267360,,,,,,sapindoside a
267361,,,,,,musennin
267769,,,,,,securinin
267773,,,,,,solypertine tartrate(usan)
268004,,,,,,14-chelidoninone
26819,,,,,,n-deacetyl-n-formyl-n-methylcolchicine
26905,,,,,,ramentaceone
2693,,,,,,chetomin
270061,,,,,,cucurbitacin k
2708,,,,,,Chlorambucil
270800,,,,,,u 32027
270853,,,,,,6-bromosangivamycin
270861,,,,,,6-bromotoyocamycin
271622,,,,,,"3,4-dimethylpyrazolo[3,2-c]-as-triazine"
271768,,,,,,"tubercidin 3', 5'-cyclic phosphate sesquihydrate"
272106,,,,,,dehydroheliotridine
272259,,,,,,nogalamycin-n-oxide
2723601,,,,,,6-Thioguanine
2723800,,,,,,safranin
2723862,,,,,,"phosphonium, (3-bromopropyl)triphenyl- bromide"
272417,,,,,,venetine
272418,,,,,,acovenoside b
2724218,,,,,,silver benzoate
272581,,,,,,"1.alpha.,2.alpha.-epxoyscillirosidin"
272892,,,,,,adoca
272938,,,,,,"3-(2,4-dinitrophenoxy)pyridine"
273088,,,,,,"phezastanine, 5,10-dihydro-5,10,10-trimethyl-"
273178,,,,,,"prototryptochrome, iodo-"
2734225,,,,,,1-decyl-3-methylimidazolium chloride
2734231,,,,,,1-hexadecyl-3-methylimidazolium chloride
2734233,,,,,,1-methyl-3-octadecylimidazolium chloride
2735132,,,,,,silver methylsulfote
274127,,,,,,"3-(4,5,6-trihydroxy-3-oxo-3h-xanthen-9-yl)propanoic acid"
274159,,,,,,uzarigenin
2750434,,,,,,2m2m
275196,,,,,,Noscapine
2757,,,,,,cinchonidine
2758,,,,,,Eucalyptol
27590,,,,,,t 53
275965,,,,,,t 73
275977,,,,,,"l-cysteine, s-[(4-chlorophenyl)diphenylmethyl]-"
275978,,,,,,"l-cysteine, s-[(4-methylphenyl)diphenylmethyl]- (9ci)"
275979,,,,,,"l-cysteine, s-[bis(4-methylphenyl)phenylmethyl]-"
276171,,,,,,nsc-123461
276293,,,,,,neriifolin
276294,,,,,,sarnovid
276389,,,,,,harringtonin
276685,,,,,,"phthalen-1,4-dione, 3-butanoylamino-2-chloro-1,4-dihydro-"
276707,,,,,,"2,2'-disulfanediyldiquinolin-8-ol"
277822,,,,,,3-Deazauridine
278143,,,,,,flavacol
278267,,,,,,n-acetylsulfanilyl chloride
278572,,,,,,aracytidine 5'-o-phenylphosphate
2785819,,,,,,4-azido-2-quinolone
278692,,,,,,nsc-128571
2788,,,,,,clioquinol
2788193,,,,,,"9-acridimine, n-(4-ethoxyphenyl)-, monohydrochloride"
278923,,,,,,"[1]benzothieno[3,2-h]isoquinoline"
279062,,,,,,cyclo-c
279214,,,,,,cyclopyrethrosin
279605,,,,,,"7,7'-methylenebis(5-nitroquinolin-8-ol)"
279609,,,,,,2-{[(6-methoxyquinolin-8-yl)amino]methyl}phenol
280616,,,,,,"5,8-quinolinedione, 7-amino-6-methoxy-2-methyl-"
2812,,,,,,Clotrimazole
281443,,,,,,"acetic acid, thio-,s-[.alpha.-(nitromethyl)benzyl] ester"
281457,,,,,,"alanine, 3-[(.alpha.,.alpha.-diphenylpiperonyl)thio]-, l-"
281604,,,,,,"acetamide, n-(2-mercaptoethyl)-, benzoate (6ci, 7ci)"
281830,,,,,,k 31
281832,,,,,,k 33
281834,,,,,,Mitomycin
281990,,,,,,scilliglaucosidin
282001,,,,,,siccanin
282021,,,,,,"bersaldegenin 1,3,5-orthoacetate"
2820349,,,,,,pmp (van)
28204,,,,,,Calusterone
282302,,,,,,acetylmarinobufogenin
282479,,,,,,p-ara-c
282522,,,,,,pentalenolactone
282523,,,,,,"at 116, benzylamine salt"
282697,,,,,,dibenzoylfuran deriv
2827274,,,,,,allyliodourotropine
282785,,,,,,hymenolide
282787,,,,,,paucin
283138,,,,,,kalamycin
284240,,,,,,3'-fluorothymidine
28465171,,,,,,"acetic acid, (amidinothio)-"
284731,,,,,,"isothiocyanic acid, sulfonyldi-m-phenylene ester"
284995,,,,,,ovalicine subst.
284996,,,,,,dihydroovalicine subst.
285033,,,,,,Homoharringtonine
2854,,,,,,compactin
285701,,,,,,Pyrazofurin
2861016,,,,,,Thioinosine
286106,,,,,,pekilocerin a
286252,,,,,,"quinoxaline, 6-chloro-2,3-bis(iodomethyl)-"
286254,,,,,,"2(1h)-quinoxalinone, 3-(bromomethyl)-"
286257,,,,,,"quinoxaline, 2,3-bis(iodomethyl)-6-methoxy-"
286532,,,,,,"furazan, di-p-anisoyl-, 2-oxide"
286636,,,,,,u 36699
28665,,,,,,wln: i1vmr de
286651,,,,,,"maleimide, n-(1-hydroxyacetonyl)-"
286701,,,,,,"4(1h)-quizolinone, 2,3-dihydro-2-(1-phthyl)- (8ci)"
286755,,,,,,ivalbin
287403,,,,,,agroclavin
2876,,,,,,2-hydroxyethylthio-3-methylphthoquinone
288101,,,,,,olendrigenin
288216,,,,,,Tegafur
288759,,,,,,"1-azabicyclo[2.2.2]octan-3-one, 2-(4-morpholinylmethyl)-"
289085,,,,,,fluderma
289493,,,,,,dihydrogeiparvarim
289743,,,,,,"4-quinolinol, 7-methoxy-2-phenyl-"
289842,,,,,,neritaloside
2901,,,,,,Cycloleucine
290486,,,,,,triciribine
290653,,,,,,"urea, n'-(5,6-dichloro-1h-benzimidazol-2-yl)-n,n-dimethyl-"
290655,,,,,,"4(1h)-quizolinone, 2,3-dihydro-2-(4-methoxy-2,5-xylyl)-"
2907,,,,,,Cyclophosphamide
29142,,,,,,Etoprine
291663,,,,,,nybomycin acetate
292189,,,,,,2-formylphenylboronic acid
292326,,,,,,"1,2-benzisothiazoline-3-thione, 2-methyl- (8ci)"
292555,,,,,,"4(1h)-quizolinone, 2-(2,4-dimethylphenyl)-2,3-dihydro-"
292556,,,,,,"4(1h)-quizolinone, 2-(2,5-dimethylphenyl)-2,3-dihydro-"
292559,,,,,,"4(1h)-quizolinone, 2,3-dihydro-2-(3-methylphenyl)-"
292560,,,,,,"4(1h)-quizolinone, 2-(2-ethoxyphenyl)-2,3-dihydro-"
293131,,,,,,(-)-apogossypol hexaacetate
29335,,,,,,methasquin
294117,,,,,,"2-oxazolamine, n-(2,3-dihydro-1h-inden-5-yl)-4,5-dihydro-"
294348,,,,,,"2,4-di(benzo[d][1,3]dioxol-5-yl)-4-oxobutanoic acid"
294452,,,,,,"9-acridanone, 3-chloro-10-methyl-"
294475,,,,,,diketocoriolin b
294641,,,,,,Acivicin
294741,,,,,,"dimethylarsinothious acid, 2,4-pyrimidinediyl ester"
295572,,,,,,"propanedinitrile, [(3,5-dibromo-2-ethoxyphenyl)methylene]-"
2958,,,,,,rubomycin
295901,,,,,,"3,5-pyridinedicarbonitrile, 2-amino-6-chloro-"
296636,,,,,,"pyrazinecarbonitrile, 3-chloro-5-(dichloromethyl)-"
296770,,,,,,"1h-inden-1-one, 2-bromo-2,3-dihydro-2-methyl-"
297307,,,,,,"malonic acid, (o-chlorobenzylidene)-, diethyl ester (8ci)"
297389,,,,,,"benzene, 1,1'-(1,2-ethanediyl)bis[2,5-dimethoxy-"
29770,,,,,,Amiodarone Hydrochloride
298076,,,,,,icrf 186
2981,,,,,,"phenthrene-9,10-diimine"
2987927,,,,,,mostrol
299645,,,,,,brusatol
299664,,,,,,3-desmethylcolchicine
3000671,,,,,,Merbarone
3000926,,,,,,N-(4-Chloro-3-((3-Methyl-2-Butenyl)Oxy)Phenyl)-2-Methyl-3-Furancarbothioamide
3001008,,,,,,"2-propel, 3-chloro-2,3-bis(3,4-dimethoxyphenyl)-"
3001029,,,,,,Menogaril
3004012,,,,,,"1,1-dimethyl-5-(2-phthalenyl)dithiobiuret"
3004106,,,,,,"1,2,4-triazine-3,5(2h,4h) dithione, 6-benzyl-"
3004113,,,,,,3-[n-(4-nitrophenyldithiocarbamoyl)]-propanoic acid
3004115,,,,,,2-[n-(3-fluorophenyldithiocarbamoyl)]-propanoic acid
3004211,,,,,,"1,3,5-triazine-2,4-dithiol, 6-(3,4-dichlorophenoxy)-"
3004516,,,,,,(1r)-(-)-3-nitromethine-6-endo-acetoxycamphor
3004942,,,,,,(e/z)-2-iodo-2-(2'-methylcyclopentylidene)-1-phenylethanone
300567,,,,,,6-aminotoyocamycin
300570,,,,,,"4(1h)-quizolinone, 2-(2-chlorophenyl)-2,3-dihydro-"
300571,,,,,,"4(1h)-quizolinone, 2,3-dihydro-2-(5-methyl-2-thienyl)-"
300572,,,,,,"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quizoline"
3006251,,,,,,"4,4'-(1,4-piperazinediyl)bisbenzaldehyde"
300858,,,,,,9-chloroellipticine
300936,,,,,,"stanne, trimethyl[(4-morpholinylthioxomethyl)thio]-"
3011155,,,,,,Nelarabine
301117,,,,,,versimide
301371,,,,,,"phthalenedione, 5-chloro-8-hydroxy-"
301389,,,,,,Chlorozotocin
3014024,,,,,,benzalkonium chloride
301935,,,,,,trigilletine
302071,,,,,,aquayamycin
302231,,,,,,"6-chlorotetrazolo[4,5-b]pyridazine"
302501,,,,,,antineoplastic-187675
302576,,,,,,sma-491 (free base of nsc d742838)
3027338,,,,,,"benzimidazole, 1-dodecyl-2-methyl-, hydrobromide"
30323,,,,,,Daunorubicin
3032861,,,,,,Beta-Thioguanine Deoxyriboside
3032930,,,,,,"carbamic acid, (2-piperazinylethyl)dithio-"
3033832,,,,,,Clomiphene Citrate
3034162,,,,,,phenylbiguanide mbt-salt
3035462,,,,,,hymenialdisine
3037,,,,,,dichlorophene
304673,,,,,,"cytosine, 1.beta.-d-arabinofuranosyl-n(sup 4)-stearoyl-"
305114,,,,,,"n-[1-(biphenyl-4-yl)ethyl]-3,4-dichlorobenzamide"
3061,,,,,,Digitoxin
30623,,,,,,Razoxane
3065,,,,,,"ergocristine, dihydro-"
306548,,,,,,"n,n'-bis(3-nitrophenyl)benzene-1,3-dicarboxamide"
308141,,,,,,aclarubicin
308223,,,,,,cc 9106
308224,,,,,,cc 9147
308371,,,,,,a 31438
3084192,,,,,,"emetine, dehydro-"
3085106,,,,,,Daunorubicin
3086131,,,,,,9-hydroxy-2-(.beta.-diethylaminoethyl)ellipticinium acetate
3086132,,,,,,9-hydroxy-2-(2-piperidinylethyl)ellipticinium acetate
3086380,,,,,,9-methoxy-2-methylellipticinium iodide
309160,,,,,,"2,4-diaminohexahydropyrimidine-5-carbonitrile"
30993,,,,,,"l-cysteine, s-ethyl- (9ci)"
31010,,,,,,Dichloromethotrexate
3108,,,,,,"thymidine, 3'-azido-5-bromo-3'-deoxy-5,6-dihydro-6-methoxy-"
31100,,,,,,bromocriptine methanesulfote
311908,,,,,,icrf 202
311912,,,,,,"6-thio-.beta.-d-glucopyranose, 6-(dimethylarsinite)"
31202,,,,,,Cetalkonium Chloride
312122,,,,,,nsc 220334
312145,,,,,,Wortmannin
312287,,,,,,colchicine alog
31307,,,,,,Triamcinolone
31315,,,,,,critex
31316,,,,,,thymophthalein
3132,,,,,,dl-thiorphan
313562,,,,,,"benzofurazan, 4-(4-morpholinyl)-7-nitro-, 3-oxide"
313591,,,,,,"benzofurazan, 4-[(3-methoxyphenyl)thio]-7-nitro-, 3-oxide"
313603,,,,,,"benzofurazan, 5-nitro-6-(1-piperidinyl)-, 1-oxide"
314,,,,,,cytosine arabinoside monophosphate
31420,,,,,,krisolamine
314728,,,,,,nsc 234214
314799,,,,,,scillarenin
315682,,,,,,helenin
316447,,,,,,triostin a
3165,,,,,,"benzimidazole, 5,6-dichloro-1-.beta.-d-ribofuranosyl- (8ci)"
316673,,,,,,"[1,1'-biphthalene]-2,2',3,3'-tetrol"
317560,,,,,,Camptothecin Derivative
317641,,,,,,"cytosine, 1.beta.-d-arabinofuranosyl-n(sup 4)-palmitoyl-"
317642,,,,,,"cytosine, 1.beta.-d-arabinofuranosyl-n(sup 4)-lauroyl-"
317843,,,,,,dicentrine-(-)
317884,,,,,,"2-chloro-6-(4-chlorophenyl)-2,5-cyclohexadiene-1,4-dione"
31789,,,,,,Dianhydrogalactitol
317895,,,,,,"butanedioic acid, 2-bromo-3-fluoro-, dimethyl ester"
318385,,,,,,phomazarin
318601,,,,,,n6-benzyladenosine-5'-phosphate
318696,,,,,,hyrcanoside
318768,,,,,,"2,6-pyridinedicarbonitrile, 3,4,5-tris(phenylthio)-"
319095,,,,,,"1,6-hexanediamine, n,n'-bis(3-methoxy-9-acridinyl)-"
319188,,,,,,"phenyl, 4-[[[4-[(phenylmethyl)amino]phenyl]methyl]thio]-"
319598,,,,,,mexicanin e
319648,,,,,,gilactone c
3197,,,,,,echinomycin
319742,,,,,,"1,2,3,4-oxatriazolium, 5-amino-3-phenyl-, chloride"
319748,,,,,,Marcellomycin
319846,,,,,,nogamycin
32018,,,,,,wln: g1vmr bg dg eg
320287,,,,,,pyrromycin
320371,,,,,,"resibufogenin, methacrylate deriv"
320712,,,,,,"thalicberine, o-methyl"
320713,,,,,,8-trichloromethyldihydroberberine
320908,,,,,,sapelin a
320914,,,,,,hydroxypristimerin
3213,,,,,,ellipticine
321973,,,,,,cinmodial b812927k060
3220,,,,,,Emodin
322357,,,,,,isobrucein a
322539,,,,,,Triciribine-5'-monophosphate
3228,,,,,,Enocitabine
322931,,,,,,BEN
322968,,,,,,prima-1
323260,,,,,,"benzenethiol, 2-amino-5-methyl-"
323275,,,,,,carnosol o-quinone
323533,,,,,,Mitindomide
323563,,,,,,nsc 284682
323587,,,,,,"adenosine, 8-chloro-, cyclic 3',5'-(hydrogen phosphate)"
323592,,,,,,lapachol glucoside tetraacetate
323607,,,,,,neothramycin
323628,,,,,,enmein-3-acetate
323701,,,,,,Tiazofurin
324500,,,,,,ivalbatin acetate
3246141,,,,,,"purine, 2-amino-6-(o-nitrobenzylthio)-"
3246652,,,,,,"4-(6-thioguanine)-7-nitro-2,1,3-benzoxadiazole"
3246719,,,,,,Camptothecin Derivative
324952,,,,,,"12-hydroxyindolo[2,1-b]quizoline-6(12h)-one"
324967,,,,,,rustaiyan a
325113,,,,,,"benzyl-4-(benzyloxy)-5,6-dimethylpicolite"
325735,,,,,,lupene triol
3259,,,,,,Tetraiodofluorescein
325910,,,,,,Camptothecin Derivative
325911,,,,,,Camptothecin Derivative
325912,,,,,,Camptothecin Derivative
326993,,,,,,isovelleral
326995,,,,,,totarol
327045,,,,,,pifide
327338,,,,,,"propanoic acid, 2-methyl-2-[4-(1-phthalenyl)phenoxy]-"
327377,,,,,,bohlmann k2630
327378,,,,,,bohlmann k2631
327404,,,,,,"2,4-pyrimidinediamine, 5-(4-chloro-3-nitrophenyl)-6-ethyl-"
327536,,,,,,shikoccin
327610,,,,,,"oxazolidine, 3-[(cyclohexyloxy)methyl]-4,4-dimethyl-"
3278,,,,,,Ethacrynic Acid
328131,,,,,,"2,4-quizolinediamine, 6-[(4-chlorophenyl)thio]-"
328137,,,,,,"2,4-quizolinediamine, 6-(phenylsulfonyl)-"
328145,,,,,,"2,4-quizolinediamine, 6-[[4-(dimethylamino)phenyl]thio]-"
328441,,,,,,diosgenin tetraglycoside
328503,,,,,,avarol
32874,,,,,,Doxorubicin
328778,,,,,,paxadiol
3288597,,,,,,Ofloxacin
329302,,,,,,encelin
329304,,,,,,"pyrimidine, 4-[(2,4-dinitrophenyl)thio]-"
329431,,,,,,straital b
329486,,,,,,prieurianin from guarea trichilioides
329517,,,,,,5-[d-manno-pentitol-1-yl]tetrazole
329826,,,,,,Indenoisoquinoline derivative
330164,,,,,,neplanocin a
330355,,,,,,"acetonitrile, 1,3-dithietan-2-ylidenenitro-"
330358,,,,,,lachnella fungus
330359,,,,,,"2(1h)-pyrimidinone, 5-fluoro-1-.beta.-d-ribofuranosyl-"
330408,,,,,,"uridine, 5-fluoro-, 2',3',5'-triacetate"
33055,,,,,,carboxymethyl ethylxanthate
330851,,,,,,Colchicine Derivative
330973,,,,,,bishelelinyl malote
331148,,,,,,zexbrevin
331290,,,,,,coaracine (racemic)
331499,,,,,,acnistin-e
331736,,,,,,epiepoxydon
331783,,,,,,rocaglamide
332278,,,,,,3'-chloro-3-nitro-o-salicylotoluidide
332607,,,,,,schisanterin a
332624,,,,,,Baccatin III
332671,,,,,,zorol
332711,,,,,,"oxirane, 2,2'-[2,3-phthalendiylbis(oxymethylene)]bis-"
332746,,,,,,"2,1,3-benzothiadiazole, 7-bromo-5-methyl-4-nitro-"
333142,,,,,,"3,4-dithenoyl-1,2,5-oxadiazole-n2-oxide"
333279,,,,,,"benzoic acid, 3,4,5-trihydroxy-, phenyl ester"
3334,,,,,,fenbendazole (usan)
333501,,,,,,"2-propyn-1-one, 1-(2h-1-benzopyran-3-yl)-3-phenyl-"
333565,,,,,,"quizoline, 4-ethyl-6-methoxy-7-(oxiranylmethoxy)-"
333624,,,,,,"1-piperidinesulfomide, n-(7-amino-2-phthalenyl)-"
333830,,,,,,predorine
334247,,,,,,"6-phenyl-6h-indeno[1,2-c]isoquinoline-5,11-dione"
334273,,,,,,"6,9-ethanobenz[g]isoquinoline-5,10-dione, 6,9-dihydro-"
334288,,,,,,gilvocarcin v
334344,,,,,,"9-(2,6-dichlorobenzyl)-9h-purine-2,6-diamine"
33463,,,,,,chlorocolchicine
334706,,,,,,"4-selezolecarboxamide, 2-.beta.-d-ribofuranosyl-"
334838,,,,,,"adenosine, 2-bromo-2'-deoxy-"
334935,,,,,,quizolinone
3354028,,,,,,"purine, 2,6,8-tris(hexylamino)-"
335628,,,,,,Mafosfamide
3363,,,,,,Floxuridine
336435,,,,,,ehretinine
3367,,,,,,2-Fluoro Ara A
3368,,,,,,2-Fluoro Ara A
336805,,,,,,Trimetrexate glucurote
336831,,,,,,bis(helelinyl)glutarate
337012,,,,,,colchicine alog
337030,,,,,,"1,3-benzodioxole, 5-[1-(4-ethoxyphenyl)ethyl]-6-methoxy-"
337175,,,,,,8-Chloro-adenosine
3374653,,,,,,"3-(2,3-dihydrobenzo[d]oxazol-2-yl)benzo thioamide"
3375,,,,,,Flumethasone
3376,,,,,,Flumethasone Pivalate
337799,,,,,,coleonol
337850,,,,,,buellolide
337854,,,,,,Cyanomorpholinodoxorubicin
3379405,,,,,,guaneran
338182,,,,,,oxanosine
338286,,,,,,haginin a
338287,,,,,,zuihonin a
338941,,,,,,veprisine
338942,,,,,,bulleyanin
339385,,,,,,perezone
339411,,,,,,n-benzoyldeacetylthiocolchicine
3405,,,,,,Folic Acid
340916,,,,,,"1,3,5-triazine, 2-(1-methylethenyl)-2,4-diphenoxy-"
340923,,,,,,"2-propemide, n-[(cyanoamino)iminomethyl]-2-methyl-"
340932,,,,,,urdamycin a
341041,,,,,,n-(butoxycarbonyl)deacetylthiocolchicine
3411,,,,,,laurusin
341279,,,,,,n-formyldeacetylthiocolchicine
341280,,,,,,n-(vinyloxycarbonyl)deacetylthiocolchicine
3413,,,,,,forskolin
341380,,,,,,saframycin r
341846,,,,,,"loganin, 6-beta-hydroxy"
341882,,,,,,nordracorubin
342375,,,,,,sipholenone-a
342903,,,,,,"acronycine, 2-nitro"
343081,,,,,,maxima isoflavone d
343097,,,,,,M-Azidopyrimethamine
343098,,,,,,"2,4-pyrimidinediamine, 5-(3-azido-4-chlorophenyl)-6-ethyl-"
343115,,,,,,gallicodazole
343590,,,,,,goniothalenol
343613,,,,,,antineoplastic-400008
343668,,,,,,"4(1h)-quinolone, 5,6,7,8-tetrahydro-2-phenyl-"
344174,,,,,,"5,6-quinolinedione"
344199,,,,,,illudin m
344200,,,,,,illudin s
344218,,,,,,pleurotine
344235,,,,,,"pyreno[2,1-b]pyridine"
344295,,,,,,"1,2-phthoquinone, 3,7-dimethyl-"
3449,,,,,,jilkon
345501,,,,,,anthricin
345512,,,,,,Acronine
345792,,,,,,p-bromophecyl benzoate
3458,,,,,,gedunin
34644,,,,,,spermine hydrochloride
347381,,,,,,Allocolchicine
347578,,,,,,"n,o-diacetyljervine"
3477,,,,,,Aspergillin
348482,,,,,,gitoxigenin
348483,,,,,,uzarin
34942,,,,,,"s-triazine, 2-amino-4-anilino-6-(chloromethyl)-"
3503,,,,,,(+/-)-gossypol
3512,,,,,,fulcin
351739,,,,,,"4(3h)-quizolinone, 3-hydroxy-2-phenyl-"
3521514,,,,,,kc 1260
352500,,,,,,2'-deoxy-2'-fluorouridine
352938,,,,,,Freund's Adjuvant
352976,,,,,,2'-deoxy-2'-fluorocytidine
353016,,,,,,chlorasquin
353126,,,,,,"6,7-dihydroxy-4'-methylisoflavan"
353127,,,,,,"6,7-diacetoxy-4'-methoxyisoflavan"
353128,,,,,,"6,7-diacetoxy-4'-methylisoflavan"
353129,,,,,,"6,7-diacetoxyisoflavan"
353130,,,,,,"4',6,7-triacetoxyisoflavan"
353131,,,,,,"3',4'-dimethoxy-7-hydroxy-8-methylisoflavan"
353155,,,,,,picodazole
353257,,,,,,"gulf compound, prodrug"
353376,,,,,,isoalantolactone
353396,,,,,,quinocarcin monocitrate
353472,,,,,,gallibiscoquizole
353473,,,,,,verabiscoquizole
353550,,,,,,13-desoxyphomenone
353644,,,,,,"benzo[g]quinoxaline-5,10-dione, 5,10-dihydro-2,3-dimethyl-"
354096,,,,,,"2-(4-iodobenzyl)ellipticine, hydrochloride"
354175,,,,,,"b676297k277 3',4'-deoxypsorospermin 3',4'-chlorohydrin"
354176,,,,,,"b676297k152 3',4'-deoxypsorospermin"
354395,,,,,,Camptothecin Derivative
354398,,,,,,annocin
354399,,,,,,from marine animal dolabella auricularia
354624,,,,,,"Adenosine, 2-chloro-2'-deoxy-2'-fluoro-"
354677,,,,,,Camptothecin Derivative
354679,,,,,,Camptothecin Derivative
354778,,,,,,"benzene, 1-[[2-chloro-1-(chloromethyl)ethyl]thio]-4-fluoro-"
355392,,,,,,Taxol derivative
355642,,,,,,bis(3-chloropropyl)disulfide
355643,,,,,,"disulfoxide, bis(3-chloropropyl)"
355710,,,,,,"2-benzoylaminobenzamide, n-thiazol-2-yl-"
355716,,,,,,herbasterol
3558,,,,,,halomon (racemic)
3559,,,,,,haloperidol
355940,,,,,,"imidazole, 1-(4-chlorophenyl)-4-(4-nitrophenyl)-"
355949,,,,,,antineoplastic-615804
355990,,,,,,free base of nsc 610966
3561,,,,,,Haloprogin
356138,,,,,,"1,2-hydroxy-3-phthoic acid"
356433,,,,,,colchicine alog
356434,,,,,,colchicine alog
356571,,,,,,"1,5-dihydroxy-1,5-di(pyridin-3-yl)pentan-3-one"
356653,,,,,,Gemcitabine
356692,,,,,,cdpi-trimer methyl ester
356986,,,,,,castanospermine
357140,,,,,,pdtpt
357329,,,,,,cycleanine plus mixture of other alkaloids
357605,,,,,,"cis-7,9-diphenyl-3-methylene-1,8-dioxaspirodecan-2-one"
357621,,,,,,"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"
357904,,,,,,dexniquldipine hcl
357928,,,,,,goniothalamicin
357929,,,,,,isoxazolyl-prodrug of distamycin (stallimycin)
357989,,,,,,Dolastatin 15
35802,,,,,,flubenol
3580213,,,,,,thiosangivamycin
358176,,,,,,"3-deazaneplanocin, hydrochloride"
358258,,,,,,"1,4-anthracenedione, 5-hydroxy-"
358898,,,,,,Carzelesin
358940,,,,,,"4-methoxy-1,5-benzothiazepine-1,1-dioxide"
359064,,,,,,"2-chloro-2',3'-dideoxyadenosine"
359178,,,,,,"benzo[1,2-c:4,5-c']dipyrrole-1,3,5,7(2h,6h)-tetraimine"
359247,,,,,,primaquine phosphate
359305,,,,,,"1,2-benzo-8-(2-aminoethyl)-3-phenoxazone"
359306,,,,,,"1h-benzocycloheptene-1,4,7-trione, 4,7-dihydro-"
359323,,,,,,Pentamidine Isethiote
359473,,,,,,methyl 13-hydroxy-15-oxo-kaurenoate
359531,,,,,,"1,4-phthalenedione, 7-(benzoyloxy)-5-methoxy-"
3598,,,,,,hexachlorophene
3599,,,,,,miltefosin c
360085,,,,,,"cyclopentanemethaminium, n,n,n-trimethyl-2-oxo-, iodide"
360122,,,,,,"cyclopentane-1,2,3-trione 2-p-methoxyphenylhydrazone"
360183,,,,,,"4-oxo-1,2,4-trithiolane"
360184,,,,,,"8,15-diisocyano-11(20)-amphilectene"
360197,,,,,,sceptrin
360259,,,,,,"4h-1-benzothiopyran-4-one, 2-(methylsulfinyl)-"
360260,,,,,,"4h-1-benzothiopyran-4-one, 2-(methylsulfonyl)-"
360322,,,,,,dubamine
360414,,,,,,3-butoxycarbonyl-3-demethylthiocolchicine
360493,,,,,,"2-(chloromethyl)-1,3-dinitro-5-(trifluoromethyl)benzene"
360666,,,,,,"spiro(3-cyclopentene-1,1'-indane)-2,5-dione, 3-bromo-"
360682,,,,,,An Antifol
360836,,,,,,prostratin
360889,,,,,,"4-methyl-1,2,4-benzotriazin-3(4h)-imine 1-oxide"
360922,,,,,,"1,4-benzoquinone, 2-bromo-5-methoxy-"
360925,,,,,,"cyclopentanone, 2,5-bis[(trimethylamino)methyl]-, iodide"
